# Exported by NS Web Analytics on 2025-12-18 21:51:47
# CSV Version=0.1.0
deviceTime,latitude,longitude,altitude,speed,accuracy,missionId,recordNumber,sourceAddress,destinationAddress,bssid,beaconInterval,serviceSetType,ssid,supportedRates,extendedSupportedRates,cipherSuites,akmSuites,encryptionType,wps,channel,frequencyMhz,signalStrength,snr,nodeType,standard,passpoint,bandwidth,deviceSerialNumber,locationAge
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,495,,,c6:50:9c:9f:56:56,,,Xfinity Mobile,,,,,WPA2,false,44,0,-69,0,,IEEE80211AX,true,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,496,,,c4:50:9c:e3:6c:85,,,xfinitywifi,,,,,,false,133,0,-87,0,,IEEE80211AX,,MHZ_160,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,497,,,c6:50:9c:9f:56:54,,,xfinitywifi,,,,,OPEN,false,44,0,-61,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,498,,,b4:63:6f:7b:6e:cc,,,yash wifi,,,,,WPA2,true,100,0,-46,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,499,,,c6:50:9c:9f:56:52,,,inigo0103,,,,,WPA2_WPA3,true,44,0,-61,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,500,,,c6:4f:d5:6a:b3:c4,,,xfinitywifi,,,,,OPEN,false,157,0,-62,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,501,,,c4:4f:d5:71:b3:c5,,,xfinitywifi,,,,,,false,69,0,-85,0,,IEEE80211AX,,MHZ_160,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,502,,,c4:4f:d5:71:b3:c6,,,,,,,,WPA3,false,69,0,-85,0,,IEEE80211AX,,MHZ_160,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,503,,,c6:4f:d5:6a:b3:c2,,,mk2025,,,,,WPA2_WPA3,true,157,0,-62,0,,IEEE80211AX,,MHZ_80,eb2c381c6eea8179,1360
2025-12-18T21:49:14.289724Z,42.152434,-88.025602,188.2,0,4,NS eb2c381c6eea8179 20251218-154456,504,,,c4:4f:d5:71:b3:c7,,,Xfinity Mobile,,,,,WPA2,false,69,0,-85,0,,IEEE80211AX,,MHZ_160,eb2c381c6eea8179,1360
