# Exported by NS Web Analytics on 2025-12-18 21:51:58
# CSV Version=0.1.0
deviceTime,latitude,longitude,altitude,speed,accuracy,missionId,recordNumber,sourceAddress,destinationAddress,signalStrength,txPower,technology,supportedTechnologies,otaDeviceName,channel,deviceSerialNumber,locationAge,addressType,deviceClass,serviceUuids,companyId
2025-12-18T21:49:20.063642Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,358,28:6B:B4:2B:6D:5C,,-90,0,,LE,Fridge,0,eb2c381c6eea8179,2607,,,,75
2025-12-18T21:49:20.043223Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,357,98:17:3C:9B:7A:E5,,-67,0,,LE,ihoment_H6008_7AE5,0,eb2c381c6eea8179,2587,,,,8802
2025-12-18T21:49:20.038778Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,356,59:FD:1D:AD:5D:91,,-96,0,,,,0,eb2c381c6eea8179,2582,RANDOM,,,4c
2025-12-18T21:49:20.03103Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,355,10:2B:41:69:D4:A3,,-101,0,,,,0,eb2c381c6eea8179,2574,,,,75
2025-12-18T21:49:20.003119Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,354,D5:0E:C0:C6:65:58,,-95,0,,LE,Govee_H6052_6558,0,eb2c381c6eea8179,2546,RANDOM,,,8801
2025-12-18T21:49:19.996729Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,353,1C:E8:9E:26:2D:1F,,-97,0,,DUAL,Fridge,0,eb2c381c6eea8179,2540,,,,75
2025-12-18T21:49:19.985249Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,352,F4:01:1B:20:8E:11,,-87,0,,,,0,eb2c381c6eea8179,2529,RANDOM,,,4c
2025-12-18T21:49:19.968361Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,351,59:FD:1D:CC:43:09,,-96,0,,,,0,eb2c381c6eea8179,2512,RANDOM,,,
2025-12-18T21:49:19.958896Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,350,CA:6A:A5:05:8C:27,,-77,0,,LE,Govee_H6604_8C27,0,eb2c381c6eea8179,2502,RANDOM,,,8843
2025-12-18T21:49:19.935894Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,349,1D:68:2E:57:6B:99,,-84,0,,,,0,eb2c381c6eea8179,2479,RANDOM,,,6
2025-12-18T21:49:19.897409Z,42.152434,-88.025602,188.2,0,5,NS eb2c381c6eea8179 20251218-154456,348,4A:4D:01:41:76:3F,,-80,0,,LE,S3-Pro-I-763F,0,eb2c381c6eea8179,2441,,,,4d4a
